model,layer,flops
asr,inner1,987627520
asr,sig1,2244608
asr,inner2,4596957184
asr,sig2,2244608
asr,inner3,4596957184
asr,sig3,2244608
asr,inner4,4596957184
asr,sig4,2244608
asr,inner5,4596957184
asr,sig5,2244608
asr,inner6,4596957184
asr,sig6,2244608
asr,final_inner,3829301248
imc,conv1,210830400
imc,relu1,290400
imc,pool1,699840
imc,norm1,419904
imc,conv2,895795200
imc,relu2,186624
imc,pool2,432640
imc,norm2,259584
imc,conv3,299040768
imc,relu3,64896
imc,conv4,448561152
imc,relu4,64896
imc,conv5,299040768
imc,relu5,43264
imc,pool5,92160
imc,fc6,75497472
imc,relu6,4096
imc,drop6,4096
imc,fc7,33554432
imc,relu7,4096
imc,drop7,4096
imc,fc8,8192000
imc,prob,1000
imc,argmax,1000
face,conv1,468450048
face,pool2,1568000
face,conv3,318836736
face,local4,120932352
face,local5,14450688
face,local6,5120000
face,fc7,52428800
face,fc8,679936
face,prob,83
face,argmax,83
dig,conv1,57600000
dig,pool1,1440000
dig,conv2,320000000
dig,pool2,400000
dig,ip1,80000000
dig,relu1,100000
dig,ip2,1000000
dig,prob,1000
dig,argmax,1000
dig-10,conv1,5760000
dig-10,pool1,144000
dig-10,conv2,32000000
dig-10,pool2,40000
dig-10,ip1,8000000
dig-10,relu1,5000
dig-10,ip2,100000
dig-10,prob,100
dig-10,argmax,100
pos,fc1,5040000
pos,htanh,16800
pos,fc3,756000
ner,fc1,6300000
ner,htanh,16800
ner,fc3,285600
chk,fc1,5040000
chk,htanh,16800
chk,fc3,705600
vgg,conv1_1,173408256
vgg,relu1_1,3211264
vgg,conv1_2,3699376128
vgg,relu1_2,3211264
vgg,pool1,4014080
vgg,conv2_1,1849688064
vgg,relu2_1,1605632
vgg,conv2_2,3699376128
vgg,relu2_2,0
vgg,pool2,2007040
vgg,conv3_1,1849688064
vgg,relu3_1,802816
vgg,conv3_2,3699376128
vgg,relu3_2,802816
vgg,conv3_3,3699376128
vgg,relu3_3,802816
vgg,conv3_4,3699376128
vgg,relu3_4,802816
vgg,pool3,1003520
vgg,conv4_1,1849688064
vgg,relu4_1,401408
vgg,conv4_2,3699376128
vgg,relu4_2,401408
vgg,conv4_3,3699376128
vgg,relu4_3,401408
vgg,conv4_4,3699376128
vgg,relu4_4,401408
vgg,pool4,501760
vgg,conv5_1,924844032
vgg,relu5_1,100352
vgg,conv5_2,924844032
vgg,relu5_2,100352
vgg,conv5_3,924844032
vgg,relu5_3,100352
vgg,conv5_4,924844032
vgg,relu5_4,100352
vgg,pool5,125440
vgg,fc6,205520896
vgg,relu6,4096
vgg,drop6,4096
vgg,fc7,33554432
vgg,relu7,4096
vgg,drop7,4096
vgg,fc8,8192000
vgg,prob,2000
vgg,argmax,1000
