network,layer,in_size,out_size
asr,inner1,0.9197998046875,4.28125
asr,sig1,4.28125,4.28125
asr,inner2,4.28125,4.28125
asr,sig2,4.28125,4.28125
asr,inner3,4.28125,4.28125
asr,sig3,4.28125,4.28125
asr,inner4,4.28125,4.28125
asr,sig4,4.28125,4.28125
asr,inner5,4.28125,4.28125
asr,sig5,4.28125,4.28125
asr,inner6,4.28125,4.28125
asr,sig6,4.28125,4.28125
asr,final_inner,4.28125,3.566314697265625
chk,fc1,0.03204345703125,0.03204345703125
chk,htanh,0.03204345703125,0.03204345703125
chk,fc3,0.03204345703125,0.004486083984375
dig-10,conv1,0.0299072265625,0.439453125
dig-10,pool1,0.439453125,0.10986328125
dig-10,conv2,0.10986328125,0.1220703125
dig-10,pool2,0.1220703125,0.030517578125
dig-10,ip1,0.030517578125,0.019073486328125
dig-10,relu1,0.019073486328125,0.019073486328125
dig-10,ip2,0.019073486328125,0.0003814697265625
dig-10,prob,0.0003814697265625,0.0003814697265625
dig-10,argmax,0.0003814697265625,3.814697265625e-05
dig,conv1,0.299072265625,4.39453125
dig,pool1,4.39453125,1.0986328125
dig,conv2,1.0986328125,1.220703125
dig,pool2,1.220703125,0.30517578125
dig,ip1,0.30517578125,0.19073486328125
dig,relu1,0.19073486328125,0.19073486328125
dig,ip2,0.19073486328125,0.003814697265625
dig,prob,0.003814697265625,0.003814697265625
dig,argmax,0.003814697265625,0.0003814697265625
face,conv1,0.264404296875,2.46142578125
face,pool2,2.46142578125,0.6153564453125
face,conv3,0.59814453125,0.24224853515625
face,local4,0.234619140625,0.18463134765625
face,local5,0.177978515625,0.03814697265625
face,local6,0.03515625,0.02691650390625
face,fc7,0.0244140625,0.015625
face,fc8,0.015625,0.000316619873046875
face,prob,0.000316619873046875,0.000316619873046875
face,argmax,0.000316619873046875,3.814697265625e-06
imc,conv1,0.5897026062011719,1.1077880859375
imc,relu1,1.1077880859375,1.1077880859375
imc,pool1,1.1077880859375,0.2669677734375
imc,norm1,0.2669677734375,0.2669677734375
imc,conv2,0.2669677734375,0.7119140625
imc,relu2,0.7119140625,0.7119140625
imc,pool2,0.7119140625,0.1650390625
imc,norm2,0.1650390625,0.1650390625
imc,conv3,0.1650390625,0.24755859375
imc,relu3,0.24755859375,0.24755859375
imc,conv4,0.24755859375,0.24755859375
imc,relu4,0.24755859375,0.24755859375
imc,conv5,0.24755859375,0.1650390625
imc,relu5,0.1650390625,0.1650390625
imc,pool5,0.1650390625,0.03515625
imc,fc6,0.03515625,0.015625
imc,relu6,0.015625,0.015625
imc,drop6,0.015625,0.015625
imc,fc7,0.015625,0.015625
imc,relu7,0.015625,0.015625
imc,drop7,0.015625,0.015625
imc,fc8,0.015625,0.003814697265625
imc,prob,0.003814697265625,0.003814697265625
imc,argmax,0.003814697265625,3.814697265625e-06
ner,fc1,0.0400543212890625,0.03204345703125
ner,htanh,0.03204345703125,0.03204345703125
ner,fc3,0.03204345703125,0.0018157958984375
pos,fc1,0.03204345703125,0.03204345703125
pos,htanh,0.03204345703125,0.03204345703125
pos,fc3,0.03204345703125,0.0048065185546875
vgg,conv1_1,0.57421875,12.25
vgg,relu1_1,12.25,12.25
vgg,conv1_2,12.25,12.25
vgg,relu1_2,12.25,12.25
vgg,pool1,12.25,3.0625
vgg,conv2_1,3.0625,6.125
vgg,relu2_1,6.125,6.125
vgg,conv2_2,6.125,6.125
vgg,relu2_2,6.125,6.125
vgg,pool2,6.125,1.53125
vgg,conv3_1,1.53125,3.0625
vgg,relu3_1,3.0625,3.0625
vgg,conv3_2,3.0625,3.0625
vgg,relu3_2,3.0625,3.0625
vgg,conv3_3,3.0625,3.0625
vgg,relu3_3,3.0625,3.0625
vgg,conv3_4,3.0625,3.0625
vgg,relu3_4,3.0625,3.0625
vgg,pool3,3.0625,0.765625
vgg,conv4_1,0.765625,1.53125
vgg,relu4_1,1.53125,1.53125
vgg,conv4_2,1.53125,1.53125
vgg,relu4_2,1.53125,1.53125
vgg,conv4_3,1.53125,1.53125
vgg,relu4_3,1.53125,1.53125
vgg,conv4_4,1.53125,1.53125
vgg,relu4_4,1.53125,1.53125
vgg,pool4,1.53125,0.3828125
vgg,conv5_1,0.3828125,0.3828125
vgg,relu5_1,0.3828125,0.3828125
vgg,conv5_2,0.3828125,0.3828125
vgg,relu5_2,0.3828125,0.3828125
vgg,conv5_3,0.3828125,0.3828125
vgg,relu5_3,0.3828125,0.3828125
vgg,conv5_4,0.3828125,0.3828125
vgg,relu5_4,0.3828125,0.3828125
vgg,pool5,0.3828125,0.095703125
vgg,fc6,0.095703125,0.015625
vgg,relu6,0.015625,0.015625
vgg,drop6,0.015625,0.015625
vgg,fc7,0.015625,0.015625
vgg,relu7,0.015625,0.015625
vgg,drop7,0.015625,0.015625
vgg,fc8,0.015625,0.003814697265625
vgg,prob,0.003814697265625,0.003814697265625
vgg,argmax,0.003814697265625,3.814697265625e-06
